Gene,exprs
DDIT4,-0.741364127
PAF1,0.127877722
PPARD,-0.730751163
PPARG,0.322899549
P4HTM,0.169586463
SLC35F2,-0.315453273
PPIC,-0.36218922
ZNF586,0.211596905
FBXL12,-0.056408246
TEX10,0.561914005
YTHDF1,-0.037899338
TXNL4B,-0.01820268
PPOX,0.598594277
HERC6,0.835008838
PIH1D1,0.58470573
PPP2R3C,0.233079886
FKBP14,-0.211553305
CDCA4,-0.281942157
PLEKHJ1,0.476207657
HEATR1,0.046557064
ANO10,0.03873504
UBR7,0.703582773
FAIM,0.318523395
PPP2R5A,0.305857273
ADI1,-0.231560177
PPP2R5E,0.598233135
ABCF3,0.32942748
PRCP,-0.096129315
ENOSF1,0.778257431
ANKRD10,0.129146814
STAP2,0.263915854
PRKACA,0.281412057
IARS2,0.03854512
NUP133,0.228642855
CNDP2,0.271839688
PRKCD,0.613768227
KDM3A,0.059614755
PECR,0.105005228
PRKCH,-0.187249537
EAPP,0.323515311
CISD1,1.183908563
PRKCQ,0.787762018
ZNF395,-0.170712137
KLHL9,-0.379543991
MAPK9,1.433972514
MAPK13,0.495690886
MAP2K5,0.35884406
PRKX,-0.214043063
PROS1,-0.255251541
LGMN,1.269742752
HTRA1,-0.448927424
NPDC1,-0.048916495
TM9SF3,0.025656543
PAK6,0.446851198
DUSP22,0.552550881
PSMB8,-0.128683562
PSMB10,-0.070699363
CIAPIN1,0.882657007
PLSCR3,-0.230902788
PSMD2,0.734318758
PSMD4,0.090164924
SCYL3,0.208600498
LYRM1,0.562385403
PSMD9,0.199928239
PSMD10,0.814942115
ZMIZ1,0.125127162
MCOLN1,0.42468882
BAD,0.320844651
PSME1,0.110738665
PSME2,0.421775163
THAP11,0.074215046
ABHD6,1.459619782
PTGS2,0.635946043
PTK2,0.274939552
PTPN1,-0.281302605
TRIB3,0.69124439
PTPN6,-0.397112251
POLD4,-0.358158259
PTPN12,0.206232224
PTPRC,0.05007811
PTPRF,0.499952473
PTPRK,0.772329622
BAX,-1.079449827
PXMP2,0.249738986
PXN,-0.811311576
PYCR1,0.047028439
PYGL,-0.278886727
ENOPH1,1.095823224
SNX6,0.021619175
RAB4A,0.561809529
RAB27A,-0.287936547
RAC2,-0.144445527
RAD9A,-0.013309705
RAD51C,0.838769328
MOK,0.065054143
RALA,-0.47096039
RALB,1.676381793
RALGDS,0.169098349
RAP1GAP,0.700782114
RASA1,0.515492948
RB1,-0.12954034
KDM5A,-0.652953224
CCND1,-0.72326669
BCL2,-0.302860224
RELB,0.201942712
RFC2,0.169114915
RFC5,0.389734371
RFNG,-1.112006498
RFX5,0.534839132
RGS2,0.389896311
RHEB,1.08706506
FASTKD5,0.280516939
RNH1,0.233452599
ELAC2,0.427368177
RPA1,0.171721905
RPA2,0.696454758
RPA3,0.91921569
MRPL12,0.83941328
RPN1,0.149790384
RPS5,-0.109499712
RPS6,0.030060749
RPS6KA1,0.174056701
BDH1,0.752248839
RSU1,-0.046605279
RTN2,0.61572398
S100A4,-0.650137856
S100A13,-0.216184167
SATB1,0.487708455
SCP2,0.349020648
CCL2,0.627958632
BID,0.665038765
ABHD4,-0.280367739
SDHB,1.299098686
MCUR1,-0.164257914
RBKS,0.368139564
BLMH,0.448319553
BLVRA,1.114716445
ATG3,0.446179829
ZDHHC6,-0.26517106
SGCB,0.648798764
SHB,-0.306955168
SHC1,-0.224420596
ACBD3,0.439022266
CERK,0.221559644
NT5DC2,-0.329577817
SKP1,0.506358782
ACD,-0.001690086
SLC1A4,-0.079669776
INTS3,-0.468598778
BMP4,-1.666743156
SMARCA4,0.667592653
SMARCC1,-0.066907525
TRAK2,0.14080404
SMARCD2,-0.093800123
SNAP25,0.544760577
SNCA,1.423681933
BNIP3,1.388830804
BNIP3L,0.24030845
SOX2,-0.200922522
SOX4,0.735153707
SPAG4,-0.022956839
SPP1,0.278870726
SPR,-0.489928937
BPHL,0.1646009
SPTAN1,0.056025802
SRC,-0.548455719
BRCA1,-0.114497151
STAT1,1.123750662
STAT3,-0.012386762
STAT5B,0.094889581
AURKA,0.109480886
STK10,0.018704808
STX1A,0.626271533
STX4,0.224353597
STXBP1,0.476964517
STXBP2,-0.303227626
SUPV3L1,-0.157640264
SUV39H1,-0.03430793
SYK,-0.222031172
SYPL1,-0.047278965
TARBP1,0.898492768
TBP,0.303155694
TBX2,-0.235401658
TBXA2R,-0.177853289
TCEA2,0.386895303
